Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
A,Agilent Technologies Inc.,Health Care,United States,NYSE,36594.72,122.51,-22.91,-15.32,-17.20,69.45,113.58,393.58,19.18,16.36,17.28,126.35,133.45,139.46,144.16,143.39,29.12,35.41,2.57,0.67,18.36,10.63,8.74,8.50,6.57,-0.46,34.35,16.02,13.08,15.00,18.86,2.74,20.09,10.21,8.33,9.17,8.09,-0.35,68.29,6.29,56.45,21.24,11.95,1.80,,,,,,,-1.59,200.35,-26.78,-19.86,-20.43,-15.42
AA,Alcoa Corporation,Materials,United States,NYSE,8268.83,44.83,-24.54,-27.92,27.42,102.04,31.78,,26.36,5.66,,69.56,65.70,61.49,57.59,54.24,64.60,67.51,2.43,0.67,30.86,7.92,-3.21,5.45,-1.12,,460.92,66.80,0.06,34.54,7.98,,124.16,26.07,-3.08,13.60,2.02,,-352.35,-38.25,19.72,1.41,7.65,,,,,,,,43.96,7.20,-6.00,-3.48,-11.26,
AAC,Ares Acquisition Corporation,Financials,United States,NYSE,1228.75,9.83,0.92,0.61,0.61,,,,,,,9.80,9.79,9.79,9.78,9.78,2.52,2.10,,,,,,,,,28777.22,,,,,,,,,,,,-105032.94,,,,,,,,,,,,-615583.34,,,,,
AAIC,Arlington Asset Investment Corp.,Real Estate,United States,NYSE,94.92,3.20,-8.57,-10.86,-16.67,-45.30,-64.54,-53.44,-18.19,-18.70,-7.35,3.36,3.41,3.51,3.57,3.65,33.64,43.52,16.28,,-107.96,-60.96,-61.64,-8.39,-33.20,-17.73,,,,,,,-106.81,-63.86,-63.57,-11.19,-34.67,-18.94,-85.95,-16.79,-53.03,-25.46,2.97,-4.56,,,,,,,-10.93,-19.51,-10.96,-12.13,-16.16,0.25
AAIN,Arlington Asset Investment Corp.,Real Estate,United States,NYSE,94.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAM,Mekong Fisheries Joint Stock Company,Consumer Staples,Vietnam,HOSE,5.05,11300.00,-10.32,-10.67,5.61,5.85,67.74,5.88,1.91,10.89,0.57,13480.50,13156.33,12812.50,12396.60,12108.17,49.18,54.79,,,-20.36,-19.05,-10.37,-6.92,-1.85,,-134.85,-60.11,-47.12,-48.14,-34.15,,-30.94,-30.90,-17.36,-20.46,-11.15,,-70.90,-43.82,-43.06,-43.70,1.02,,,,,,,,-3.02,-1.82,-0.80,-3.72,-2.07,
AAN,The Aaron's Company Inc.,Consumer Discretionary,United States,NYSE,470.77,15.33,-37.06,-34.65,-47.57,,,,,,,19.70,20.81,22.24,23.33,25.03,49.76,47.29,21.99,2.77,6.37,1.70,0.93,-10.47,,,13.66,11.75,9.49,-3.00,,,7.01,2.11,2.19,-6.33,,,-141.34,97.80,29.47,-4.62,,,,,,,,,0.79,41.57,35.64,-15.13,,
AAP,Advance Auto Parts Inc.,Consumer Discretionary,United States,NYSE,10992.26,182.90,-22.52,-21.94,-9.62,20.35,87.46,179.56,6.36,13.37,10.81,200.92,211.72,214.75,213.26,211.07,30.64,36.48,8.95,2.73,8.82,6.43,4.71,2.83,1.60,5.95,12.70,15.19,13.43,2.67,-0.68,3.10,9.96,7.66,5.33,2.99,1.47,4.86,24.97,12.49,13.28,6.04,3.21,4.55,,,,,,,-21.30,-10.39,-9.63,2.92,28.29,7.20
AAQC,Accelerate Acquisition Corp.,Financials,United States,NYSE,488.50,9.77,0.51,0.51,0.93,,,,,,,9.75,9.74,9.74,9.72,,3.38,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAT,American Assets Trust Inc.,Real Estate,United States,NYSE,2265.06,29.53,-19.85,-22.05,-16.49,-32.10,-12.74,56.75,-12.09,-2.69,4.59,34.36,35.03,35.86,36.28,36.34,27.07,27.63,,4.20,9.04,1.43,4.54,5.12,5.52,6.47,12.74,-6.27,7.88,0.39,2.56,5.93,9.91,2.20,5.42,5.54,5.50,6.91,2.59,-21.22,12.96,-2.73,3.87,3.61,,,,,,,-2.84,-2.87,15.03,8.65,7.85,7.61
AB,AllianceBernstein Holding L.P.,Financials,United States,NYSE,4129.19,41.46,-10.74,-10.34,0.48,79.02,170.31,644.38,21.38,21.96,22.20,42.98,44.86,46.99,47.49,47.07,34.11,39.18,-0.04,9.62,34.99,25.04,15.44,11.70,10.97,20.30,34.99,25.04,15.44,11.70,10.97,20.30,34.99,25.04,15.44,11.70,10.97,20.30,38.11,27.18,16.76,12.24,11.64,15.26,,,,,,,1.09,2.20,2.86,1.04,-0.05,-0.03
