Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
AAL,American Airlines Group Inc.,Industrials,United States,NasdaqGS,9073.72,13.97,-22.22,-27.54,-31.35,-56.95,-72.86,,-24.45,-22.92,,16.41,16.82,17.62,18.11,18.84,56.03,64.37,-1.38,,72.36,-19.20,-12.46,-5.73,-4.96,2.23,-53.18,15.38,11.28,-2.45,0.29,26.98,-137.44,-61.87,-45.88,-32.04,-22.98,-9.29,-77.57,8.72,12.17,-5.06,-5.13,0.07,,,,,,,3.33,46.03,28.01,40.18,17.62,5.30
AAON,AAON Inc.,Industrials,United States,NasdaqGS,2904.05,54.72,-30.87,-25.85,-12.25,11.51,52.28,562.96,3.69,8.76,20.79,53.77,59.78,62.90,63.38,63.53,32.37,39.05,0.19,0.69,3.88,6.72,7.20,6.84,5.96,7.22,-28.22,1.08,7.53,-2.63,-0.39,11.31,-11.56,7.43,10.01,3.14,3.51,11.53,-25.63,4.59,11.55,1.94,4.17,15.44,,,,,,,-10.72,4.05,8.09,8.55,8.61,9.74
AAPL,Apple Inc.,Information Technology,United States,NasdaqGS,2379869.01,147.04,-16.97,-14.36,3.24,201.28,330.92,694.75,44.33,33.87,23.00,155.54,161.13,158.29,156.29,152.04,29.85,35.64,3.83,0.61,33.26,18.58,11.26,11.15,10.42,12.95,64.36,30.54,15.40,12.66,10.99,12.42,45.62,24.63,14.49,12.65,11.68,13.31,64.92,30.90,16.73,15.69,13.30,13.83,,,,,,,-3.44,-16.50,-16.18,-12.01,-6.74,-1.34
AAWW,Atlas Air Worldwide Holdings Inc.,Industrials,United States,NasdaqGS,1738.50,61.67,-34.48,-30.12,-6.11,45.90,12.03,35.78,13.39,2.29,3.10,72.39,76.57,78.50,77.12,76.18,34.41,37.99,6.46,,25.53,21.31,14.61,16.99,12.21,11.17,40.46,95.12,34.10,28.83,19.39,16.37,23.71,26.62,15.61,16.86,14.56,14.98,36.92,29.73,22.17,64.05,24.44,17.77,,,,,,,25.28,26.49,11.68,14.39,10.66,9.60
ABCB,Ameris Bancorp,Financials,United States,NasdaqGS,2852.83,41.22,-16.45,-23.24,-12.36,12.17,-10.22,263.44,3.90,-2.13,13.75,43.88,46.09,47.75,47.84,48.86,32.74,34.45,0.78,1.46,6.43,23.94,33.29,26.61,,,,,,,,,,,,,,,43.87,52.80,46.03,39.21,,,12.06,9.60,26.76,35.63,34.84,26.02,10.98,12.42,26.91,29.42,29.81,22.57
ABMD,Abiomed Inc.,Health Care,United States,NasdaqGS,12182.09,267.00,-25.66,-16.37,-17.86,3.58,87.96,1036.17,1.18,13.43,27.47,281.50,293.08,305.15,312.42,310.09,44.95,54.35,0.00,,21.74,10.77,10.27,18.30,23.89,23.36,9.87,1.44,4.55,22.77,36.37,66.96,23.04,10.61,9.65,17.62,23.70,23.54,-39.47,-18.00,-19.23,21.24,2.65,57.05,,,,,,,14.47,16.65,15.76,27.09,27.14,31.62
ABNB,Airbnb Inc.,Consumer Discretionary,United States,NasdaqGS,61959.69,97.35,-41.53,-41.37,-31.70,,,,,,,137.50,146.16,154.08,153.54,152.39,58.21,67.63,-0.04,,77.37,11.67,17.94,,,,-113.51,-2.70,190.70,,,,93.27,15.76,20.15,,,,-92.32,-27.75,175.37,,,,,,,,,,87.59,61.40,69.50,,,
ABOS,Acumen Pharmaceuticals Inc.,Health Care,United States,NasdaqGS,242.60,5.99,-11.39,4.17,-66.31,,,,,,,4.42,4.96,7.00,8.87,,75.00,82.21,-69.74,,-15.38,,,,,,147.52,58.40,,,,,87.55,33.75,,,,,1273.46,256.70,,,,,,,,,,,-1311.25,344.05,,,,
ABSI,Absci Corporation,Health Care,United States,NasdaqGS,329.62,3.55,-56.71,-50.63,,,,,,,,5.99,6.70,8.07,,,97.93,89.94,-69.92,,0.04,52.36,,,,,458.89,244.46,,,,,496.94,320.51,,,,,603.41,291.59,,,,,,,,,,,-424.04,165.34,,,,
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,United States,NasdaqGS,2546.50,15.74,-32.56,-30.32,-33.59,-41.11,-46.08,760.11,-16.16,-11.60,23.97,20.59,21.43,20.69,20.33,20.84,73.67,83.72,-0.51,,9.60,19.49,29.33,94.64,227.43,72.57,-27.10,-16.86,-11.69,-8.98,9.00,22.25,45.66,68.88,130.95,21.17,20.69,30.93,-40.38,-15.53,-11.86,-9.16,8.89,22.12,,,,,,,-13.58,-11.88,4.42,1.13,8.30,36.92
