Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
A000040,KR Motors Co. Ltd.,Consumer Discretionary,South Korea,KOSE,47.01,633.00,-26.82,-30.13,-48.11,-58.53,-86.56,-79.99,-25.41,-33.03,-14.85,787.06,808.29,855.60,921.34,971.65,35.19,41.05,-3.83,,13.30,0.35,53.99,9.51,7.64,0.44,-314.61,-66.93,-47.63,-19.82,-18.73,0.87,-10.99,323.12,178.13,19.23,51.31,1.41,16.45,-51.64,-26.01,-1.04,-4.14,17.52,,,,,,,1.77,45.76,-9.52,-7.70,-2.03,-6.31
A000050,Kyungbangco.Ltd,Consumer Discretionary,South Korea,KOSE,236.76,12300.00,-10.55,-13.07,-12.58,25.21,-20.86,78.54,7.78,-4.57,5.96,14659.00,14440.00,14223.75,14121.00,14192.00,32.16,39.95,4.05,1.02,16.44,5.58,2.94,0.31,2.21,0.97,146.16,29.62,9.50,4.37,8.38,9.32,41.19,16.99,8.41,4.53,5.98,4.31,71.02,-28.53,3.33,-5.44,9.93,34.95,,,,,,,1.37,1.75,2.60,2.14,2.24,1.86
A000060,Meritz Fire & Marine Insurance Co. Ltd.,Financials,South Korea,KOSE,2628.74,32550.00,-2.98,-18.63,56.16,91.45,100.00,345.07,24.15,14.85,16.08,40514.50,40251.67,37591.75,35068.00,32363.50,43.39,44.88,7.42,1.90,8.50,11.36,11.46,9.97,9.70,,56.39,64.94,60.65,16.95,27.32,,41.70,92.02,26.42,11.01,12.76,,55.80,51.84,42.45,23.37,28.86,,,,,,,,-10.89,-1.02,1.57,8.01,8.20,
A000120,CJ Logistics Corporation,Industrials,South Korea,KOSE,1879.86,122000.00,-3.17,-4.31,-31.84,-7.58,-32.60,46.63,-2.59,-7.58,3.90,124430.00,125080.00,130715.00,139520.00,144988.33,28.07,32.21,,,5.22,4.36,7.16,13.28,13.90,15.93,6.57,7.44,12.59,8.30,10.70,10.53,6.95,4.99,8.95,9.71,12.14,16.41,-55.51,17.39,1.30,-0.38,-0.64,-4.24,,,,,,,39.49,34.17,39.34,19.40,8.96,3.69
A000270,Kia Corporation,Consumer Discretionary,South Korea,KOSE,23788.43,76800.00,-6.57,-11.42,-8.37,91.98,134.42,30.10,24.26,18.55,2.66,78121.00,79606.67,80587.00,81509.60,82136.67,27.89,28.71,0.13,3.91,18.07,9.61,8.85,5.79,5.79,4.93,145.03,58.77,63.58,15.52,10.17,3.77,30.13,17.57,17.50,4.41,4.76,2.55,220.01,61.43,60.29,11.56,6.85,3.38,,,,,,,16.98,9.85,8.67,5.63,6.50,10.01
A000320,NOROO Holdings Co. Ltd.,Materials,South Korea,KOSE,88.63,10750.00,-15.69,-20.37,-21.79,-1.25,-12.99,99.57,-0.42,-2.74,7.15,11726.60,11941.73,12100.80,12417.24,12804.70,30.16,30.26,-0.17,4.19,12.64,3.93,4.54,6.72,5.20,5.71,-26.58,2.41,39.40,2.63,-3.52,7.12,-8.26,-5.15,1.09,-0.49,1.25,5.59,-88.59,-40.93,-42.00,-31.91,-32.02,-16.42,,,,,,,-1.17,-0.18,0.01,0.94,3.83,4.49
A000400,Lotte Non - Life Insurance Co. Ltd.,Financials,South Korea,KOSE,385.67,1615.00,-0.31,-1.52,-16.10,-28.54,-44.50,-58.41,-10.59,-11.10,-8.39,1827.30,1758.60,1780.22,1794.76,1828.80,34.14,42.71,,,-22.83,-5.91,-2.50,-0.06,2.29,,-38.19,5.71,17.08,54.72,28.60,,-7.54,8.77,-1.06,6.85,8.28,,-595.05,53.06,9.50,32.77,73.34,,,,,,,,6.11,2.09,21.55,15.15,19.14,
A000430,Daewon Kang Up Co. Ltd.,Consumer Discretionary,South Korea,KOSE,135.31,2825.00,-24.26,-23.65,-28.67,-28.34,-27.61,-32.90,-10.51,-6.25,-3.91,3199.60,3331.50,3531.85,3670.92,3777.85,29.94,31.12,-0.05,3.54,0.12,-5.24,-4.68,-4.34,-2.50,-1.44,-195.13,-57.10,-51.03,-39.20,-24.98,-22.50,-11.71,-18.30,-17.58,-13.99,-6.87,-6.83,6.94,-34.45,-26.60,-29.08,-8.08,-15.33,,,,,,,-0.21,-1.81,-0.14,0.72,1.74,2.86
A000480,Chosun Refractories Co.Ltd.,Industrials,South Korea,KOSE,196.29,79400.00,-1.98,-0.63,-7.50,7.08,12.54,110.17,2.30,2.39,7.70,80343.00,80442.00,82266.50,83687.60,84961.33,12.70,14.11,-0.58,5.67,5.82,-0.72,-1.85,0.87,-0.22,-0.34,44.57,24.65,-5.64,-1.65,-6.87,-3.19,14.08,4.76,-0.31,2.30,-0.09,1.36,-25.34,1.44,-21.96,13.08,-7.08,-3.17,,,,,,,5.39,4.44,3.18,3.57,3.38,2.47
A000490,Daedong Corporation,Industrials,South Korea,KOSE,188.37,11450.00,13.37,-1.72,2.61,101.52,49.15,130.22,26.28,8.31,8.69,13688.00,12761.13,12078.35,12014.08,11971.23,59.02,64.74,,0.70,31.64,18.88,21.67,15.03,10.05,6.66,13.41,24.91,93.09,23.69,28.59,12.53,22.23,5.22,20.06,12.26,9.77,4.85,64.30,247.93,200.99,13.36,31.57,18.95,,,,,,,8.57,27.52,17.57,10.43,6.29,4.20
