Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
A,Armor Minerals Inc.,Materials,Canada,TSXV,36.23,0.61,-18.67,7.02,5.17,41.86,52.50,-91.29,12.30,8.78,-21.71,0.60,0.63,0.60,0.56,0.54,172.18,198.06,-1.47,,,,,,,,-58.76,-15.25,13.74,-28.94,-22.81,-30.38,,,,,,,-60.25,-16.20,8.44,1.49,-23.41,-34.31,,,,,,,511.93,93.11,64.71,98.68,4.00,-10.95
AAB,Aberdeen International Inc.,Financials,Canada,TSX,6.87,0.0650,-51.85,-51.85,-77.19,44.44,-51.85,-82.69,13.04,-13.59,-16.08,0.1104,0.1198,0.1302,0.1534,0.1651,71.18,64.55,,,59.87,55.22,-27.93,-9.41,18.49,-13.07,12.92,36.35,-47.05,-18.25,-15.93,-22.51,59.87,55.22,-27.93,-9.41,7.55,-13.48,-69.13,-30.56,-67.38,-37.95,-32.30,-31.18,,,,,,,25.90,19.24,15.00,3.36,1.85,-8.22
AACP,Anacott Acquisition Corporation,Financials,Canada,TSXV,0.28,0.1500,,-6.25,-52.38,,,,,,,,,,,,255.24,,-57.03,,,,,,,,-40.16,,,,,,,,,,,,-33.48,,,,,,,,,,,,15.58,,,,,
AAG,Aftermath Silver Ltd.,Materials,Canada,TSXV,21.94,0.2150,-43.42,-36.76,-52.75,115.00,,-64.17,29.01,,-9.74,0.289,0.316,0.353,0.371,0.400,78.36,79.96,-0.80,,,,,,,,139.30,242.46,145.41,102.30,29.70,52.91,381.35,412.04,160.06,,,,128.42,247.70,147.77,105.03,30.72,53.83,,,,,,,348.62,587.55,615.91,103.88,62.84,96.17
AALI,Advance Lithium Corp.,Materials,Canada,TSXV,1.16,0.0200,-63.64,-63.64,-66.67,-66.67,-63.64,-91.11,-30.62,-18.25,-21.47,0.0413,0.0466,0.0497,0.0522,0.0579,159.59,175.96,-49.30,,,,,,,,233.35,41.87,44.67,58.14,27.16,-10.16,,,,,,,207.31,37.53,43.37,98.02,25.45,-9.81,,,,,,,73.25,68.54,105.45,69.82,38.73,21.57
AAT,ATI Airtest Technologies Inc.,Information Technology,Canada,TSXV,5.48,0.0500,-28.57,-9.09,-16.67,150.00,42.86,11.11,35.61,7.35,1.06,0.0590,0.0733,0.0727,0.0818,0.0838,131.98,155.87,-36.18,,-19.92,-21.77,-7.63,-6.90,-5.27,-3.37,93.07,437.90,63.93,48.25,41.04,11.75,-18.39,-21.63,-4.24,-4.61,-3.77,-2.96,-54.71,116.72,0.77,12.36,11.39,1.96,,,,,,,-25.11,4.79,3.26,9.42,12.55,8.12
AAU,Angold Resources Ltd.,Materials,Canada,TSXV,6.11,0.0600,-63.64,-61.29,-78.18,,,,,,,0.1045,0.1212,0.1344,0.1558,0.1859,86.06,94.64,-25.85,,,,,,,,309.28,140.16,,,,,,,,,,,14261.15,681.51,,,,,,,,,,,7792.63,537.07,,,,
AAV,Advantage Energy Ltd.,Energy,Canada,TSX,1334.10,9.17,23.75,24.09,101.10,433.14,4.80,181.29,74.52,0.94,10.88,9.34,8.50,8.14,7.56,7.00,56.84,62.59,,,97.99,37.00,27.33,24.22,12.35,4.39,2210.20,162.58,97.44,78.23,7.34,2.20,151.58,49.35,34.73,21.91,9.07,5.14,-244.88,308.56,233.25,92.09,59.45,10.42,,,,,,,39.86,5.14,2.98,3.78,4.15,2.54
AAWHU,Ascend Wellness Holdings Inc.,Consumer Staples,United States,CNSX,470.53,2.50,-62.18,-54.95,-76.39,,,,,,,3.23,3.92,4.86,5.93,,56.08,56.63,-18.08,,131.25,425.59,,,,,144.83,-12.69,40.82,,,,123.22,543.07,,,,,382.16,96.10,135.53,,,,,,,,,,-206.86,135.16,40.98,,,
AAZ,Azincourt Energy Corp.,Energy,Canada,TSXV,8.73,0.0500,-71.43,-71.43,-60.00,-42.86,-69.23,-95.27,-16.99,-20.97,-26.17,0.1318,0.1456,0.1615,0.1624,0.1639,98.29,84.53,-141.60,,,,,,,,11.83,0.20,10.91,74.00,-3.65,23.98,,,,,,,11.15,0.41,10.97,72.11,5.64,25.77,,,,,,,295.87,86.55,52.19,83.61,43.30,54.08
ABCT,ABC Technologies Holdings Inc.,Consumer Discretionary,Canada,TSX,537.03,6.05,-13.56,0.59,-27.51,,,,,,,6.10,6.25,6.66,7.07,7.47,54.39,60.78,-53.79,2.48,17.98,-4.19,-1.90,,,,-1494.66,-35.28,-31.43,,,,61.40,-5.58,-8.19,,,,-55.36,-57.70,-42.56,,,,,,,,,,45.26,-16.29,15.49,,,
ABI,Abcourt Mines Inc.,Materials,Canada,TSXV,13.87,0.0550,-38.89,-42.11,-62.07,-26.67,-26.67,-38.89,-9.81,-6.01,-4.80,0.0803,0.0846,0.0883,0.0973,0.1055,90.38,107.92,-0.11,,14.67,3.84,1.89,19.05,,311.12,95.78,193.51,-4.68,6.70,37.13,8.36,20.80,24.10,4.28,18.02,135.82,51.85,575.72,287.41,19.65,6.94,32.85,9.22,,,,,,,9.46,6.13,5.12,6.63,7.47,6.04
ABN,Aben Resources Ltd.,Materials,Canada,TSXV,3.51,0.0350,-22.22,-30.00,-46.15,-84.78,-65.00,-99.03,-46.58,-18.92,-37.05,0.0465,0.0480,0.0486,0.0514,0.0546,110.78,131.61,-3.99,,,,,,,,-45.28,-33.66,-36.58,7.06,1.93,-15.34,,,,,,,-57.86,-46.96,-35.49,8.41,10.71,-14.21,,,,,,,-2.10,-1.35,-2.03,25.08,19.09,4.63
