Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
VAO,Vapiano SE,Consumer Discretionary,Germany,XTRA,2.64,0.252,-3.45,0.00,0.00,-95.96,-98.90,,-84.22,-70.08,,0.2494,0.2047,0.264,0.331,0.79,,,-839.55,,14.21,22.09,22.39,22.46,,,110.46,172.22,155.77,38.60,,,2.82,15.15,15.28,16.58,,,236.89,1002.24,424.37,76.73,,,,,,,,,-15242.20,5.87,183.09,42.50,,
WDI,Wirecard AG,Information Technology,Germany,HMSE,4.11,0.0321,-21.90,-32.85,,,,,,,,0.0349,0.0362,,,,131.20,107.94,,,34.38,39.54,37.11,32.62,29.79,26.22,53.16,44.19,41.83,38.80,30.38,25.97,30.36,35.66,36.64,42.35,35.66,30.69,35.65,14.12,34.54,33.24,28.16,23.44,,,,,,,105.28,18.28,25.56,25.56,28.93,25.10
ECX,Epigenomics AG,Health Care,Germany,XTRA,7.84,0.470,-26.68,-25.40,-62.28,-96.56,-99.09,,-67.37,-60.93,,0.51,0.53,0.65,0.75,0.85,63.45,66.47,-30.24,,636.70,134.81,59.35,8.11,22.40,15.75,-58.85,-47.50,-32.10,-19.66,-9.51,-7.96,770.44,163.77,77.06,18.77,34.15,18.84,-79.22,-62.23,-42.38,-26.29,-16.88,-16.96,,,,,,,479.96,52.49,6.18,9.29,20.69,3.47
SEN,Senetas Corporation Limited,Information Technology,Australia,ASX,22.53,0.0270,-48.08,-43.75,-43.75,-56.16,-67.12,371.34,-24.00,-19.93,16.76,0.0410,0.0441,0.0448,0.0469,0.0471,55.92,58.32,-0.52,,1.77,3.90,6.64,3.99,11.06,7.37,197.31,47.60,35.05,9.08,27.81,9.74,-0.32,8.30,8.34,4.62,11.43,8.07,299.79,182.91,23.78,-6.60,3.29,-4.08,,,,,,,6.20,-46.27,-37.70,-21.05,-6.30,1.01
CCAP,CORESTATE Capital Holding S.A.,Real Estate,Luxembourg,XTRA,49.13,1.38,-87.80,-87.93,-87.49,-95.42,-96.59,,-64.12,-49.09,,6.91,8.33,8.85,9.59,9.95,88.90,113.31,,,33.93,-10.69,-2.18,35.64,31.26,35.66,109.17,-31.84,-18.56,37.02,23.97,73.48,40.73,-32.25,-19.94,29.19,24.93,36.24,191.03,36.14,24.33,67.19,49.00,162.39,,,,,,,152.22,293.89,-12.84,-9.66,4.27,35.50
CC1,Consus Real Estate AG,Real Estate,Germany,XTRA,60.65,0.360,-74.29,-76.00,-94.42,-94.86,-96.83,,-62.71,-49.83,,1.47,1.62,2.01,2.79,3.45,142.20,186.72,,,-99.31,-90.16,-15.52,,,,-111.78,-43.61,29.01,,,,-98.66,-83.65,5.60,,,,212.98,103.78,96.85,,,,,,,,,,-1203.33,329.70,176.81,,,
FRU,Multitude SE,Financials,Finland,XTRA,73.01,3.24,-15.40,-14.96,-38.29,-68.54,-86.20,,-31.92,-32.68,,3.60,3.82,4.08,4.24,4.37,43.58,51.92,-75.77,,2.38,-14.60,-8.12,4.38,15.28,14.65,,,,,,,1.77,-15.11,-9.28,3.56,14.99,15.51,-629.34,-66.64,-48.96,-27.69,-10.61,6.19,,,,,,,54.20,21.89,20.10,12.21,34.19,36.94
ACX,bet-at-home.com AG,Consumer Discretionary,Germany,XTRA,85.31,11.64,-10.32,-13.65,-68.71,-76.58,-87.48,50.84,-38.28,-33.98,4.19,14.21,14.34,15.69,18.37,22.11,53.99,61.44,,,8.88,-34.54,-24.18,-14.45,-8.09,-2.03,2.14,-51.01,-38.28,-23.99,-15.24,4.08,14.67,-45.50,-33.03,-21.25,-13.56,-6.68,-170.00,-4.73,-20.63,-12.06,-6.26,13.49,,,,,,,-69.53,-38.60,-39.62,-32.73,-19.04,-6.87
EXL,Exasol AG,Information Technology,Germany,XTRA,104.57,4.20,-45.10,-42.58,-75.68,,,,,,,5.59,5.98,6.99,9.06,10.56,62.20,66.43,-43.77,,16.38,12.57,15.84,,,,1.56,56.06,518.69,,,,-14.79,96.84,23.28,,,,-14.65,44.77,259.22,,,,,,,,,,-74.09,21.49,16.50,,,
H24,home24 SE,Consumer Discretionary,Germany,XTRA,110.99,3.63,-68.71,-69.16,-77.00,19.41,,,6.07,,,5.94,7.56,8.86,10.32,11.36,70.35,72.90,-48.42,,25.13,28.70,25.32,20.35,21.21,,434.43,-27.84,-21.89,-10.80,-8.26,,17.19,27.58,25.00,21.17,24.07,,90.68,-31.90,-24.80,-12.08,-8.45,,,,,,,,71.89,48.52,5.70,30.78,48.90,
