Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
1301,Kyokuyo Co. Ltd.,Consumer Staples,Japan,TSE,282.98,3650.00,21.65,20.67,26.84,28.85,33.32,142.56,8.78,5.91,9.25,3336.70,3263.61,3204.65,3165.60,3126.96,18.68,19.00,-0.03,2.47,1.76,-1.72,-0.34,1.40,2.16,3.38,36.91,48.01,18.61,12.81,14.95,14.61,9.54,7.50,5.73,3.78,4.68,3.70,20.74,50.83,16.72,13.86,9.64,27.05,,,,,,,5.98,14.73,10.64,11.59,9.68,10.06
1332,Nippon Suisan Kaisha Ltd.,Consumer Staples,Japan,TSE,1296.29,577.00,7.76,8.16,7.56,-13.97,-0.93,227.39,-4.87,-0.19,12.58,552.80,549.63,569.14,573.38,565.89,28.62,29.10,0.00,2.43,5.67,0.27,-0.87,1.75,1.19,2.57,49.76,8.89,7.68,3.64,5.91,10.98,-12.66,-8.88,-7.14,-3.77,-2.51,-0.75,19.53,8.16,3.95,3.97,7.29,22.30,,,,,,,11.72,11.81,9.59,10.32,12.99,18.97
1333,Maruha Nichiro Corporation,Consumer Staples,Japan,TSE,925.83,2478.00,5.31,5.44,5.22,-20.54,-8.77,,-7.35,-1.82,,2434.51,2437.14,2461.55,2465.11,2464.73,24.19,26.86,0.00,2.22,0.48,-2.15,-2.06,-0.15,0.05,0.60,46.96,18.09,3.06,-1.97,15.50,3.78,3.70,1.02,-0.91,-0.94,1.66,0.88,192.45,16.10,0.40,1.81,12.92,17.44,,,,,,,12.38,10.28,9.61,12.02,12.17,14.32
1375,Yukiguni Maitake Co. Ltd.,Consumer Staples,Japan,TSE,270.82,941.00,-20.24,-21.74,-43.33,,,,,,,1027.87,1084.65,1169.30,1263.53,1350.38,24.71,26.39,0.15,3.19,-8.37,-3.69,-0.36,,,,-34.56,-11.88,-7.15,,,,-18.09,-7.09,-2.22,,,,-36.99,-17.07,-12.02,,,,,,,,,,31.84,250.77,20.52,,,
1376,Kaneko Seeds Co. Ltd.,Consumer Staples,Japan,TSE,138.69,1660.00,11.54,11.84,17.74,34.00,21.98,193.77,10.21,4.05,11.37,1656.44,1596.18,1562.45,1546.21,1541.11,26.40,30.69,0.87,1.75,-0.14,2.14,1.18,0.96,0.46,1.67,10.41,11.09,0.91,-1.86,-2.19,1.83,0.64,1.93,0.39,0.59,0.67,1.49,-9.33,7.72,0.47,-2.65,-0.68,4.20,,,,,,,3.74,3.49,3.64,4.27,5.09,5.95
1377,Sakata Seed Corporation,Consumer Staples,Japan,TSE,1600.59,5000.00,53.17,47.12,32.12,51.82,49.99,433.10,14.88,8.44,18.20,4126.25,3855.77,3738.50,3722.58,3732.10,27.85,33.98,0.44,0.90,5.53,8.84,5.20,3.39,3.68,4.51,14.97,22.25,13.15,7.74,12.91,15.87,13.90,13.06,7.42,5.52,6.24,6.67,60.50,41.82,21.36,14.93,18.12,20.48,,,,,,,12.75,10.57,7.02,5.31,4.88,5.52
1379,Hokuto Corporation,Consumer Staples,Japan,TSE,440.37,1932.00,3.88,2.74,2.90,12.00,14.32,67.44,3.84,2.71,5.28,1954.11,1944.02,1943.44,1945.29,1947.36,12.71,12.06,-0.37,3.11,-4.00,-0.20,0.35,2.36,2.19,3.25,-66.49,-28.34,-16.84,-10.10,-9.21,-12.79,-20.59,-6.67,-2.97,-0.21,0.42,-0.64,-37.35,28.55,-7.42,-2.20,-5.27,-5.40,,,,,,,0.68,3.92,1.64,1.11,1.37,1.52
1380,Akikawa Foods & Farms Co. Ltd.,Consumer Staples,Japan,TSE,32.20,1070.00,0.54,-1.21,-3.59,33.29,68.23,186.63,10.01,10.95,11.09,1070.28,1071.33,1076.84,1085.90,1100.47,21.42,19.20,,0.93,3.44,7.07,5.69,4.22,4.64,4.16,-56.60,10.02,5.12,-3.58,6.30,11.71,-2.01,10.10,7.24,4.25,6.80,5.71,-5.92,49.65,5.61,9.94,19.38,19.40,,,,,,,6.50,8.98,6.76,7.09,6.29,5.14
1381,AXYZ Co. Ltd.,Consumer Staples,Japan,TSE,128.09,3160.00,0.33,1.42,2.38,41.08,11.22,405.40,12.11,2.15,17.57,3293.75,3255.73,3250.15,3234.28,3263.95,16.00,14.55,,3.01,7.03,3.94,2.99,2.86,4.24,3.78,23.24,17.77,4.08,7.59,26.77,18.73,11.96,8.84,0.37,2.54,7.47,4.71,22.25,15.53,4.22,14.55,25.75,19.02,,,,,,,12.58,12.02,11.71,14.59,14.58,11.66
1382,HOB Co.Ltd.,Consumer Staples,Japan,TSE,9.99,1816.00,95.06,93.19,88.97,119.06,80.70,82.16,29.54,12.55,6.17,1051.01,1011.21,992.91,985.53,979.25,61.48,85.72,,,-5.91,-8.01,-7.74,-7.49,-5.92,-2.22,328.00,50.88,19.31,10.15,-4.06,21.71,6.07,-2.10,2.09,-2.73,-4.98,-2.32,285.71,56.67,19.06,-0.37,5.75,28.21,,,,,,,23.29,14.65,13.46,-7.37,-7.07,-5.87
