Ticker,Name,Sector,Country,Exchange,Market Cap,Last Price,Total Return (YTD),Total Return (6M),Total Return (1Y),Total Return (3Y),Total Return (5Y),Total Return (10Y),CAGR Total Return (3Y),CAGR Total Return (5Y),CAGR Total Return (10Y),SMA (100D),SMA (150D),SMA (200D),SMA (250D),SMA (300D),Volatility (1Y),Volatility (6M),Buyback Yield (LTM),Div Yield (TTM),Total Revenues/CAGR (1Y FY),Total Revenues/CAGR (2Y FY),Total Revenues/CAGR (3Y FY),Total Revenues/CAGR (5Y FY),Total Revenues/CAGR (7Y FY),Total Revenues/CAGR (10Y FY),EBIT/CAGR (1Y FY),EBIT/CAGR (2Y FY),EBIT/CAGR (3Y FY),EBIT/CAGR (5Y FY),EBIT/CAGR (7Y FY),EBIT/CAGR (10Y FY),Gross Profit/CAGR (1Y FY),Gross Profit/CAGR (2Y FY),Gross Profit/CAGR (3Y FY),Gross Profit/CAGR (5Y FY),Gross Profit/CAGR (7Y FY),Gross Profit/CAGR (10Y FY),Net Income/CAGR (1Y FY),Net Income/CAGR (2Y FY),Net Income/CAGR (3Y FY),Net Income/CAGR (5Y FY),Net Income/CAGR (7Y FY),Net Income/CAGR (10Y FY),Total Equity/CAGR (1Y FY),Total Equity/CAGR (2Y FY),Total Equity/CAGR (3Y FY),Total Equity/CAGR (5Y FY),Total Equity/CAGR (7Y FY),Total Equity/CAGR (10Y FY),Tangible Book Value/CAGR (1Y FY),Tangible Book Value/CAGR (2Y FY),Tangible Book Value/CAGR (3Y FY),Tangible Book Value/CAGR (5Y FY),Tangible Book Value/CAGR (7Y FY),Tangible Book Value/CAGR (10Y FY)
000001,Ping An Bank Co. Ltd.,Financials,China,SZSE,38024.92,13.24,-19.66,-18.92,-38.76,-3.06,29.72,175.33,-1.03,5.34,10.65,14.91,15.65,16.38,17.00,18.08,35.16,34.63,,,15.29,10.33,11.99,9.60,,,,,,,,,,,,,,,25.61,13.52,13.55,9.96,,,8.60,12.40,18.10,14.36,17.10,18.03,8.83,13.50,20.35,16.34,17.36,19.74
000002,China Vanke Co. Ltd.,Real Estate,China,SZSE,28960.03,17.62,-10.83,-14.88,-20.78,-33.03,-12.21,152.78,-12.50,-2.57,9.71,18.73,19.31,19.41,19.93,20.99,43.94,44.10,10.99,7.09,8.04,10.94,15.01,13.49,17.51,20.22,-29.03,-19.28,-9.31,7.20,13.14,12.57,-20.64,-14.92,-4.70,6.49,12.08,12.86,-45.75,-23.88,-12.63,1.39,5.25,8.87,,,,,,,1.59,10.19,13.76,14.63,14.28,15.49
000004,Shenzhen GuoHua Network Security Technology Co. Ltd.,Health Care,China,SZSE,190.93,8.27,-57.42,-61.91,-64.07,-59.28,-65.76,-21.98,-25.86,-19.27,-2.45,14.37,16.43,16.99,17.84,17.79,54.50,57.85,,,3.00,63.38,-7.65,0.09,20.01,14.52,-6.05,42.11,60.07,15.79,50.30,17.07,-23.33,43.12,-18.62,10.20,26.50,15.42,-887.81,1181.65,192.85,66.91,101.30,67.15,,,,,,,8.63,12.25,63.74,37.93,34.98,22.49
000005,Shenzhen Fountain Corporation,Industrials,China,SZSE,264.75,1.69,-26.52,-26.52,-22.83,-44.77,-66.80,-39.43,-17.94,-19.77,-4.88,2.00,2.08,2.10,2.11,2.08,32.78,32.45,-2.78,,-3.86,-16.69,-7.60,-4.46,32.76,19.70,-89.01,38.55,115.59,17.24,7.63,1.79,0.72,-29.39,-20.75,-13.18,25.49,37.34,-135.94,-10.79,-2.24,5.05,18.19,28.40,,,,,,,14.23,-3.22,2.09,4.65,9.63,6.80
000006,Shenzhen Zhenye (Group) Co.Ltd.,Real Estate,China,SZSE,829.14,4.15,-4.32,-3.89,-10.72,-15.63,-42.33,23.55,-5.50,-10.41,2.13,4.46,4.45,4.41,4.46,4.59,36.23,45.55,,2.92,5.24,-9.02,7.13,-1.66,4.12,1.78,-8.36,-18.66,4.65,4.56,6.85,2.17,-3.81,-11.70,10.52,6.10,6.41,-0.30,-37.35,-17.77,-14.75,-7.00,0.92,2.24,,,,,,,3.82,6.54,7.25,8.84,9.18,10.66
000007,Shenzhen Quanxinhao Co. Ltd.,Consumer Discretionary,China,SZSE,404.54,7.89,29.56,20.64,63.02,22.14,-50.29,-23.40,6.89,-11.93,-2.63,6.82,6.62,6.14,5.77,5.43,42.50,37.75,,,348.64,119.55,68.36,39.12,0.32,2.05,72.10,61.42,-53.54,-13.59,10.20,-0.22,25.00,18.83,11.43,9.63,-12.27,-10.91,-132.52,33.92,-41.16,-12.52,4.09,21.50,,,,,,,57.09,-30.50,-19.05,-19.74,-13.11,-9.21
000008,China High-Speed Railway Technology Co. Ltd.,Industrials,China,SZSE,956.78,2.38,-19.05,-13.77,9.68,-34.39,-67.01,95.82,-13.10,-19.87,6.94,2.51,2.54,2.46,2.40,2.38,45.72,48.73,,,15.50,-17.07,-4.77,3.38,32.61,21.71,-135.98,-73.94,-55.95,-37.81,12.17,-2.53,2.00,-31.20,-16.12,-5.34,27.64,17.76,55.89,79.17,62.48,21.72,109.90,44.98,,,,,,,-38.62,-25.41,-17.51,-8.63,19.24,14.33
000009,China Baoan Group Co. Ltd.,Industrials,China,SZSE,4660.68,12.21,-15.38,-15.38,-44.89,165.42,83.78,191.09,38.41,12.93,11.26,12.04,12.90,14.41,16.25,15.59,64.95,52.36,-0.87,0.25,65.11,21.11,14.37,22.24,22.26,15.79,100.04,15.29,1.63,25.72,30.45,14.13,45.85,9.88,4.91,20.02,20.51,12.87,56.49,85.44,69.20,34.72,19.17,14.39,,,,,,,18.54,26.86,20.24,15.44,14.39,10.48
000010,Shenzhen Ecobeauty Co. Ltd.,Industrials,China,SZSE,548.38,3.50,-7.16,-8.85,-10.03,-5.41,-31.10,-3.78,-1.83,-7.17,-0.38,3.61,3.65,3.71,3.74,3.79,47.31,61.41,,,24.73,-3.66,71.98,10.77,33.68,25.31,-2.22,-29.02,-41.75,-0.10,13.91,30.66,16.54,-15.86,-9.39,1.64,39.50,16.92,-41.12,-28.95,-68.23,-10.07,-15.23,16.68,,,,,,,8.85,15.33,14.78,-26.88,-7.57,21.40
000011,ShenZhen Properties & Resources Development (Group) Ltd.,Real Estate,China,SZSE,863.71,10.39,-5.92,-2.92,-10.38,16.43,-34.83,95.82,5.20,-8.20,6.94,11.94,11.75,11.67,11.72,11.86,43.37,55.15,0.00,6.54,9.44,6.48,9.98,16.88,19.80,12.13,13.95,7.48,15.53,22.35,20.58,13.61,10.43,8.98,21.51,22.49,21.82,13.29,25.72,10.80,12.88,23.12,13.35,14.42,,,,,,,20.06,19.24,4.94,13.99,12.40,15.93
